season,week,date,kickoff_time,home_team_tff,away_team_tff,home_goals,away_goals,tff_match_id,source_url
2017-18,1,2017-08-11,21:45,MEDİPOL BAŞAKŞEHİR FK,BURSASPOR,1,0,180340,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-12,20:00,AKHİSAR BELEDİYE GENÇLİK VE SPOR,DEMİR GRUP SİVASSPOR,1,0,180336,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-12,20:00,GENÇLERBİRLİĞİ,KARDEMİR KARABÜKSPOR,1,1,180341,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-12,21:45,ALANYASPOR,KASIMPAŞA A.Ş.,1,3,180339,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-12,21:45,GÖZTEPE A.Ş.,FENERBAHÇE A.Ş.,2,2,180343,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-13,20:00,EVKUR YENİ MALATYASPOR,OSMANLISPOR FUTBOL KULÜBÜ,3,1,180338,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-13,20:00,TRABZONSPOR A.Ş.,ATİKER KONYASPOR,2,1,180342,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-13,21:45,BEŞİKTAŞ A.Ş.,ANTALYASPOR A.Ş.,2,0,180337,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,1,2017-08-14,21:45,GALATASARAY A.Ş.,KAYSERİSPOR,4,1,180335,https://www.tff.org/Default.aspx?hafta=1&pageID=1440
2017-18,2,2017-08-18,21:45,KASIMPAŞA A.Ş.,BEŞİKTAŞ A.Ş.,2,2,180351,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-19,19:00,KARDEMİR KARABÜKSPOR,MEDİPOL BAŞAKŞEHİR FK,3,1,180346,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-19,19:45,BURSASPOR,ALANYASPOR,3,2,180347,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-19,21:45,DEMİR GRUP SİVASSPOR,EVKUR YENİ MALATYASPOR,2,0,180344,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-19,21:45,OSMANLISPOR FUTBOL KULÜBÜ,GALATASARAY A.Ş.,1,3,180349,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-20,20:00,KAYSERİSPOR,GÖZTEPE A.Ş.,1,0,180350,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-20,21:45,ANTALYASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,2,180348,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-20,21:45,FENERBAHÇE A.Ş.,TRABZONSPOR A.Ş.,2,2,180352,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,2,2017-08-21,21:45,ATİKER KONYASPOR,GENÇLERBİRLİĞİ,3,0,180345,https://www.tff.org/Default.aspx?hafta=2&pageID=1440
2017-18,3,2017-08-25,21:45,AYTEMİZ ALANYASPOR,KARDEMİR KARABÜKSPOR,1,1,180355,https://www.tff.org/Default.aspx?hafta=3&pageID=1440
2017-18,3,2017-08-25,21:45,GALATASARAY A.Ş.,DEMİR GRUP SİVASSPOR,3,0,180356,https://www.tff.org/Default.aspx?hafta=3&pageID=1440
2017-18,3,2017-08-26,19:45,EVKUR YENİ MALATYASPOR,ANTALYASPOR A.Ş.,1,1,180354,https://www.tff.org/Default.aspx?hafta=3&pageID=1440
