season,column,row_count,non_null_count,missing_count,missing_rate,empty_string_count
2017-18,Div,306,306,0,0.000000,0
2017-18,Date,306,306,0,0.000000,0
2017-18,HomeTeam,306,306,0,0.000000,0
2017-18,AwayTeam,306,306,0,0.000000,0
2017-18,FTHG,306,306,0,0.000000,0
2017-18,FTAG,306,306,0,0.000000,0
2017-18,FTR,306,306,0,0.000000,0
2017-18,HTHG,306,306,0,0.000000,0
2017-18,HTAG,306,306,0,0.000000,0
2017-18,HTR,306,306,0,0.000000,0
2017-18,HS,306,306,0,0.000000,0
2017-18,AS,306,306,0,0.000000,0
2017-18,HST,306,306,0,0.000000,0
2017-18,AST,306,306,0,0.000000,0
2017-18,HF,306,306,0,0.000000,0
2017-18,AF,306,306,0,0.000000,0
2017-18,HC,306,306,0,0.000000,0
2017-18,AC,306,306,0,0.000000,0
2017-18,HY,306,306,0,0.000000,0
2017-18,AY,306,306,0,0.000000,0
2017-18,HR,306,306,0,0.000000,0
2017-18,AR,306,306,0,0.000000,0
2017-18,B365H,306,303,3,0.009804,0
2017-18,B365D,306,303,3,0.009804,0
2017-18,B365A,306,303,3,0.009804,0
2017-18,BWH,306,305,1,0.003268,0
2017-18,BWD,306,305,1,0.003268,0
2017-18,BWA,306,305,1,0.003268,0
2017-18,IWH,306,296,10,0.032680,0
2017-18,IWD,306,296,10,0.032680,0
2017-18,IWA,306,296,10,0.032680,0
2017-18,LBH,306,298,8,0.026144,0
2017-18,LBD,306,298,8,0.026144,0
2017-18,LBA,306,298,8,0.026144,0
2017-18,PSH,306,295,11,0.035948,0
2017-18,PSD,306,295,11,0.035948,0
2017-18,PSA,306,295,11,0.035948,0
2017-18,WHH,306,302,4,0.013072,0
2017-18,WHD,306,302,4,0.013072,0
2017-18,WHA,306,302,4,0.013072,0
2017-18,VCH,306,304,2,0.006536,0
2017-18,VCD,306,304,2,0.006536,0
2017-18,VCA,306,304,2,0.006536,0
2017-18,Bb1X2,306,306,0,0.000000,0
2017-18,BbMxH,306,306,0,0.000000,0
2017-18,BbAvH,306,306,0,0.000000,0
2017-18,BbMxD,306,306,0,0.000000,0
2017-18,BbAvD,306,306,0,0.000000,0
2017-18,BbMxA,306,306,0,0.000000,0
2017-18,BbAvA,306,306,0,0.000000,0
2017-18,BbOU,306,306,0,0.000000,0
2017-18,BbMx>2.5,306,306,0,0.000000,0
2017-18,BbAv>2.5,306,306,0,0.000000,0
2017-18,BbMx<2.5,306,306,0,0.000000,0
2017-18,BbAv<2.5,306,306,0,0.000000,0
2017-18,BbAH,306,306,0,0.000000,0
2017-18,BbAHh,306,306,0,0.000000,0
2017-18,BbMxAHH,306,306,0,0.000000,0
2017-18,BbAvAHH,306,306,0,0.000000,0
2017-18,BbMxAHA,306,306,0,0.000000,0
2017-18,BbAvAHA,306,306,0,0.000000,0
2017-18,PSCH,306,303,3,0.009804,0
2017-18,PSCD,306,303,3,0.009804,0
2017-18,PSCA,306,303,3,0.009804,0
2018-19,Div,306,306,0,0.000000,0
2018-19,Date,306,306,0,0.000000,0
2018-19,HomeTeam,306,306,0,0.000000,0
2018-19,AwayTeam,306,306,0,0.000000,0
2018-19,FTHG,306,306,0,0.000000,0
2018-19,FTAG,306,306,0,0.000000,0
2018-19,FTR,306,306,0,0.000000,0
2018-19,HTHG,306,306,0,0.000000,0
2018-19,HTAG,306,306,0,0.000000,0
2018-19,HTR,306,306,0,0.000000,0
2018-19,HS,306,306,0,0.000000,0
2018-19,AS,306,306,0,0.000000,0
2018-19,HST,306,306,0,0.000000,0
2018-19,AST,306,306,0,0.000000,0
2018-19,HF,306,306,0,0.000000,0
2018-19,AF,306,306,0,0.000000,0
2018-19,HC,306,306,0,0.000000,0
2018-19,AC,306,306,0,0.000000,0
2018-19,HY,306,306,0,0.000000,0
2018-19,AY,306,306,0,0.000000,0
2018-19,HR,306,306,0,0.000000,0
2018-19,AR,306,305,1,0.003268,0
2018-19,B365H,306,306,0,0.000000,0
2018-19,B365D,306,306,0,0.000000,0
2018-19,B365A,306,306,0,0.000000,0
2018-19,BWH,306,305,1,0.003268,0
2018-19,BWD,306,305,1,0.003268,0
2018-19,BWA,306,305,1,0.003268,0
