model,season,penalty,outcome,term,coefficient
ml_offset_logit,2021-22,inf,home_vs_draw,intercept,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,form_points_diff,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,sot_share_diff,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,rest_days_diff,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,home_promoted,0.000000000
ml_offset_logit,2021-22,inf,home_vs_draw,away_promoted,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,intercept,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,form_points_diff,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,sot_share_diff,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,rest_days_diff,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,home_promoted,0.000000000
ml_offset_logit,2021-22,inf,away_vs_draw,away_promoted,0.000000000
ml_offset_logit,2022-23,100.000000000,home_vs_draw,intercept,-0.005348999
ml_offset_logit,2022-23,100.000000000,home_vs_draw,stage6_logit_home_draw,-0.056853138
ml_offset_logit,2022-23,100.000000000,home_vs_draw,stage6_logit_away_draw,0.076007884
ml_offset_logit,2022-23,100.000000000,home_vs_draw,form_points_diff,0.070378368
ml_offset_logit,2022-23,100.000000000,home_vs_draw,sot_share_diff,0.172853738
ml_offset_logit,2022-23,100.000000000,home_vs_draw,rest_days_diff,-0.027102374
ml_offset_logit,2022-23,100.000000000,home_vs_draw,home_promoted,-0.034147933
ml_offset_logit,2022-23,100.000000000,home_vs_draw,away_promoted,0.011960430
ml_offset_logit,2022-23,100.000000000,away_vs_draw,intercept,0.000678525
ml_offset_logit,2022-23,100.000000000,away_vs_draw,stage6_logit_home_draw,-0.011021371
ml_offset_logit,2022-23,100.000000000,away_vs_draw,stage6_logit_away_draw,-0.010514994
ml_offset_logit,2022-23,100.000000000,away_vs_draw,form_points_diff,-0.031722729
ml_offset_logit,2022-23,100.000000000,away_vs_draw,sot_share_diff,-0.078639912
ml_offset_logit,2022-23,100.000000000,away_vs_draw,rest_days_diff,0.006835378
ml_offset_logit,2022-23,100.000000000,away_vs_draw,home_promoted,0.075776579
