model,target_season,decay_per_day,prior_k,tuning_seasons,tuning_matches,selected_penalty,selected_tuning_log_loss,no_adjustment_tuning_log_loss,selected_at_grid_minimum
ml_offset_logit,2021-22,0.001500000000,64,2020-21,420,inf,1.030586198451,1.030586198451,False
ml_offset_logit,2022-23,0.003000000000,64,2020-21;2021-22,800,100.000000000000,1.017686275458,1.022178361486,False
ml_offset_logit,2023-24,0.003000000000,64,2020-21;2021-22;2022-23,1113,300.000000000000,1.010257179669,1.014250649490,False
ml_offset_logit,2024-25,0.003000000000,64,2020-21;2021-22;2022-23;2023-24,1492,300.000000000000,1.001553586613,1.004631030316,False
ml_offset_recalibration,2021-22,0.001500000000,64,2020-21,420,inf,1.030586198451,1.030586198451,False
ml_offset_recalibration,2022-23,0.003000000000,64,2020-21;2021-22,800,inf,1.022178361486,1.022178361486,False
ml_offset_recalibration,2023-24,0.003000000000,64,2020-21;2021-22;2022-23,1113,inf,1.014250649490,1.014250649490,False
ml_offset_recalibration,2024-25,0.003000000000,64,2020-21;2021-22;2022-23;2023-24,1492,inf,1.004631030316,1.004631030316,False
ml_plain_logit,2021-22,0.001500000000,64,2020-21,420,100.000000000000,1.043263659929,1.087210773448,False
ml_plain_logit,2022-23,0.003000000000,64,2020-21;2021-22,800,100.000000000000,1.020474267201,1.074469304404,False
ml_plain_logit,2023-24,0.003000000000,64,2020-21;2021-22;2022-23,1113,100.000000000000,1.014295398351,1.071961526389,False
ml_plain_logit,2024-25,0.003000000000,64,2020-21;2021-22;2022-23;2023-24,1492,100.000000000000,1.005895868596,1.070796719535,False
