season,decay_per_day,estimate_rho,club,attack_offset,defence_offset
2018-19,0.001500000,True,Ankaragucu,-0.114275032,-0.085146752
2018-19,0.001500000,True,Erzurumspor FK,-0.193896408,0.138633105
2018-19,0.001500000,True,Rizespor,0.124811645,-0.029120812
2018-19,0.001500000,False,Ankaragucu,-0.112515319,-0.084895715
2018-19,0.001500000,False,Erzurumspor FK,-0.175274309,0.134433082
2018-19,0.001500000,False,Rizespor,0.117107344,-0.034951337
2018-19,0.003000000,True,Ankaragucu,-0.088765468,-0.096606410
2018-19,0.003000000,True,Erzurumspor FK,-0.175930841,0.139486285
2018-19,0.003000000,True,Rizespor,0.151130450,-0.036471165
2018-19,0.003000000,False,Ankaragucu,-0.088898687,-0.094214082
2018-19,0.003000000,False,Erzurumspor FK,-0.152896168,0.133749099
2018-19,0.003000000,False,Rizespor,0.141135031,-0.042956490
2019-20,0.001500000,True,Denizlispor,-0.434633820,-0.018921093
2019-20,0.001500000,True,Gaziantep FK,0.042758399,-0.034513943
2019-20,0.001500000,True,Genclerbirligi,-0.229571345,-0.141700707
2019-20,0.001500000,False,Denizlispor,-0.419330228,-0.017497808
2019-20,0.001500000,False,Gaziantep FK,0.044312532,-0.036644122
2019-20,0.001500000,False,Genclerbirligi,-0.229910089,-0.143265470
2019-20,0.003000000,True,Denizlispor,-0.455332117,-0.024101249
2019-20,0.003000000,True,Gaziantep FK,0.034917382,-0.003755650
2019-20,0.003000000,True,Genclerbirligi,-0.269592134,-0.127420510
2019-20,0.003000000,False,Denizlispor,-0.445300785,-0.023294036
2019-20,0.003000000,False,Gaziantep FK,0.035929998,-0.005687021
2019-20,0.003000000,False,Genclerbirligi,-0.270710412,-0.128406485
2020-21,0.001500000,True,Erzurumspor FK,-0.189699686,-0.155369642
2020-21,0.001500000,True,Fatih Karagumruk,0.161980133,0.033815170
2020-21,0.001500000,True,Hatayspor,0.122558453,0.015191157
2020-21,0.001500000,False,Erzurumspor FK,-0.186277466,-0.153778662
2020-21,0.001500000,False,Fatih Karagumruk,0.159650506,0.037955019
2020-21,0.001500000,False,Hatayspor,0.125963010,0.015719258
2020-21,0.003000000,True,Erzurumspor FK,-0.158778225,-0.205523981
2020-21,0.003000000,True,Fatih Karagumruk,0.172617705,0.018205508
2020-21,0.003000000,True,Hatayspor,0.123802556,-0.005703283
2020-21,0.003000000,False,Erzurumspor FK,-0.155758676,-0.203961197
2020-21,0.003000000,False,Fatih Karagumruk,0.170676699,0.022126389
2020-21,0.003000000,False,Hatayspor,0.128299952,-0.005174971
2021-22,0.001500000,True,Adana Demirspor,0.188112100,0.119186994
2021-22,0.001500000,True,Altay,-0.270047852,-0.025654968
2021-22,0.001500000,True,Giresunspor,-0.179270370,0.138667307
2021-22,0.001500000,False,Adana Demirspor,0.185355419,0.127302014
2021-22,0.001500000,False,Altay,-0.264122472,-0.025078957
2021-22,0.001500000,False,Giresunspor,-0.175839103,0.135457295
2021-22,0.003000000,True,Adana Demirspor,0.191719605,0.104975053
2021-22,0.003000000,True,Altay,-0.296386241,-0.017250828
2021-22,0.003000000,True,Giresunspor,-0.165730321,0.118974715
2021-22,0.003000000,False,Adana Demirspor,0.187592980,0.115559844
2021-22,0.003000000,False,Altay,-0.289570244,-0.017404729
2021-22,0.003000000,False,Giresunspor,-0.162545245,0.116428827
2022-23,0.001500000,True,Ankaragucu,-0.242624300,-0.067720335
2022-23,0.001500000,True,Istanbulspor,-0.129947173,-0.206444063
2022-23,0.001500000,True,Umraniyespor,-0.149119864,-0.247300438
2022-23,0.001500000,False,Ankaragucu,-0.241676308,-0.069242234
2022-23,0.001500000,False,Istanbulspor,-0.122289038,-0.212877754
2022-23,0.001500000,False,Umraniyespor,-0.139019561,-0.248928048
2022-23,0.003000000,True,Ankaragucu,-0.230245850,0.001913890
2022-23,0.003000000,True,Istanbulspor,-0.108767831,-0.160295334
2022-23,0.003000000,True,Umraniyespor,-0.154059741,-0.229262822
2022-23,0.003000000,False,Ankaragucu,-0.230617858,0.000896330
2022-23,0.003000000,False,Istanbulspor,-0.103739565,-0.164490696
2022-23,0.003000000,False,Umraniyespor,-0.147772959,-0.230373588
2023-24,0.001500000,True,Pendikspor,-0.229652682,-0.284223597
2023-24,0.001500000,True,Rizespor,-0.089760253,-0.153052624
2023-24,0.001500000,True,Samsunspor,-0.247538647,0.045883589
2023-24,0.001500000,False,Pendikspor,-0.231210537,-0.283084399
2023-24,0.001500000,False,Rizespor,-0.099185541,-0.151985522
2023-24,0.001500000,False,Samsunspor,-0.243610064,0.047754971
2023-24,0.003000000,True,Pendikspor,-0.232037837,-0.264423655
2023-24,0.003000000,True,Rizespor,-0.070518833,-0.124490312
2023-24,0.003000000,True,Samsunspor,-0.246096454,0.053751623
2023-24,0.003000000,False,Pendikspor,-0.233933895,-0.261818067
2023-24,0.003000000,False,Rizespor,-0.081613884,-0.123088040
2023-24,0.003000000,False,Samsunspor,-0.241715653,0.056556039
