model,target_season,decay_per_day,tuning_seasons,tuning_matches,selected_k,selected_tuning_log_loss,no_prior_tuning_log_loss,selected_at_grid_maximum
dixon_coles_promoted_prior,2021-22,0.001500000000,2019-20;2020-21,726,64,1.032272309455,1.042066008815,True
dixon_coles_promoted_prior,2022-23,0.003000000000,2019-20;2020-21;2021-22,1106,64,1.025620854377,1.034542340548,True
dixon_coles_promoted_prior,2023-24,0.003000000000,2019-20;2020-21;2021-22;2022-23,1419,64,1.018643374654,1.026892986875,True
dixon_coles_promoted_prior,2024-25,0.003000000000,2019-20;2020-21;2021-22;2022-23;2023-24,1798,64,1.009734968289,1.019388674345,True
dixon_coles_promoted_point,2021-22,0.001500000000,2019-20;2020-21,726,64,1.032318330351,1.042066008815,True
dixon_coles_promoted_point,2022-23,0.003000000000,2019-20;2020-21;2021-22,1106,64,1.025724231911,1.034542340548,True
dixon_coles_promoted_point,2023-24,0.003000000000,2019-20;2020-21;2021-22;2022-23,1419,64,1.018690679331,1.026892986875,True
dixon_coles_promoted_point,2024-25,0.003000000000,2019-20;2020-21;2021-22;2022-23;2023-24,1798,64,1.009731840475,1.019388674345,True
poisson_decay_promoted_prior,2021-22,0.001500000000,2019-20;2020-21,726,64,1.034767549668,1.044204404941,True
poisson_decay_promoted_prior,2022-23,0.003000000000,2019-20;2020-21;2021-22,1106,64,1.026728150123,1.035179305151,True
poisson_decay_promoted_prior,2023-24,0.003000000000,2019-20;2020-21;2021-22;2022-23,1419,64,1.019283751678,1.027163880322,True
poisson_decay_promoted_prior,2024-25,0.003000000000,2019-20;2020-21;2021-22;2022-23;2023-24,1798,64,1.010736844098,1.020050333354,True
