season,team,home_matches,away_matches,total_matches
2017-18,Akhisar Belediyespor,17,17,34
2017-18,Alanyaspor,17,17,34
2017-18,Antalyaspor,17,17,34
2017-18,Besiktas,17,17,34
2017-18,Bursaspor,17,17,34
2017-18,Buyuksehyr,17,17,34
2017-18,Fenerbahce,17,17,34
2017-18,Galatasaray,17,17,34
2017-18,Genclerbirligi,17,17,34
2017-18,Goztep,17,17,34
2017-18,Karabukspor,17,17,34
2017-18,Kasimpasa,17,17,34
2017-18,Kayserispor,17,17,34
2017-18,Konyaspor,17,17,34
2017-18,Osmanlispor,17,17,34
2017-18,Sivasspor,17,17,34
2017-18,Trabzonspor,17,17,34
2017-18,Yeni Malatyaspor,17,17,34
2018-19,Akhisar Belediyespor,17,17,34
2018-19,Alanyaspor,17,17,34
2018-19,Ankaragucu,17,17,34
2018-19,Antalyaspor,17,17,34
2018-19,Besiktas,17,17,34
2018-19,Bursaspor,17,17,34
2018-19,Buyuksehyr,17,17,34
2018-19,Erzurum BB,17,17,34
2018-19,Fenerbahce,17,17,34
2018-19,Galatasaray,17,17,34
2018-19,Goztep,17,17,34
2018-19,Kasimpasa,17,17,34
2018-19,Kayserispor,17,17,34
2018-19,Konyaspor,17,17,34
2018-19,Rizespor,17,17,34
2018-19,Sivasspor,17,17,34
2018-19,Trabzonspor,17,17,34
2018-19,Yeni Malatyaspor,17,17,34
2019-20,Alanyaspor,17,17,34
2019-20,Ankaragucu,17,17,34
2019-20,Antalyaspor,17,17,34
2019-20,Besiktas,17,17,34
2019-20,Buyuksehyr,17,17,34
2019-20,Denizlispor,17,17,34
2019-20,Fenerbahce,17,17,34
2019-20,Galatasaray,17,17,34
2019-20,Gaziantep,17,17,34
2019-20,Genclerbirligi,17,17,34
2019-20,Goztep,17,17,34
2019-20,Kasimpasa,17,17,34
2019-20,Kayserispor,17,17,34
2019-20,Konyaspor,17,17,34
2019-20,Rizespor,17,17,34
2019-20,Sivasspor,17,17,34
2019-20,Trabzonspor,17,17,34
2019-20,Yeni Malatyaspor,17,17,34
2020-21,Alanyaspor,20,20,40
2020-21,Ankaragucu,20,20,40
2020-21,Antalyaspor,20,20,40
2020-21,Besiktas,20,20,40
2020-21,Buyuksehyr,20,20,40
2020-21,Denizlispor,20,20,40
2020-21,Erzurum BB,20,20,40
2020-21,Fenerbahce,20,20,40
2020-21,Galatasaray,20,20,40
2020-21,Gaziantep,20,20,40
2020-21,Genclerbirligi,20,20,40
2020-21,Goztep,20,20,40
2020-21,Hatayspor,20,20,40
2020-21,Karagumruk,20,20,40
2020-21,Kasimpasa,20,20,40
2020-21,Kayserispor,20,20,40
2020-21,Konyaspor,20,20,40
2020-21,Rizespor,20,20,40
2020-21,Sivasspor,20,20,40
2020-21,Trabzonspor,20,20,40
2020-21,Yeni Malatyaspor,20,20,40
2021-22,Ad. Demirspor,19,19,38
2021-22,Alanyaspor,19,19,38
2021-22,Altay,19,19,38
2021-22,Antalyaspor,19,19,38
2021-22,Besiktas,19,19,38
2021-22,Buyuksehyr,19,19,38
2021-22,Fenerbahce,19,19,38
2021-22,Galatasaray,19,19,38
2021-22,Gaziantep,19,19,38
2021-22,Giresunspor,19,19,38
2021-22,Goztep,19,19,38
2021-22,Hatayspor,19,19,38
2021-22,Karagumruk,19,19,38
2021-22,Kasimpasa,19,19,38
2021-22,Kayserispor,19,19,38
2021-22,Konyaspor,19,19,38
2021-22,Rizespor,19,19,38
2021-22,Sivasspor,19,19,38
2021-22,Trabzonspor,19,19,38
2021-22,Yeni Malatyaspor,19,19,38
2022-23,Ad. Demirspor,18,18,36
2022-23,Alanyaspor,18,18,36
2022-23,Ankaragucu,18,18,36
2022-23,Antalyaspor,18,18,36
2022-23,Besiktas,18,18,36
2022-23,Buyuksehyr,18,18,36
2022-23,Fenerbahce,18,18,36
2022-23,Galatasaray,18,18,36
2022-23,Gaziantep,18,18,36
2022-23,Giresunspor,18,18,36
2022-23,Hatayspor,18,18,36
2022-23,Istanbulspor,18,18,36
2022-23,Karagumruk,18,18,36
2022-23,Kasimpasa,18,18,36
2022-23,Kayserispor,18,18,36
